NClasses,Resumptions,Entailments,Prunings,Backtracks,Constraints,TotalRuntime,Value
3,512448,168318,240882,663,3465,60,377
4,1087863,370233,517389,1812,4803,80,287
5,44683788,13020588,19343706,63894,6804,2419,210
6,14977176,3969858,6447177,15912,6057,803,92
7,34070010,7988334,14010705,31746,6834,1751,75
8,101818179,32662773,46818162,162786,7044,5697,74
9,41828307,11003388,17945922,54231,7059,2384,34
10,209600949,49500954,85687170,192615,9963,10429,151
11,223159914,60988431,96698820,247197,9774,11753,79
12,277585704,65696328,115390362,204483,10488,14162,48
13,224632260,64184865,99023712,254544,10737,12103,68
14,269773995,71959335,117124935,175890,12174,14186,48
