NStudents,Resumptions,Entailments,Prunings,Backtracks,Constraints,TotalRuntime,Value
1,4644,2076,3048,12,852,15,9
2,17406,7233,10029,30,1482,5,10
3,32679,12747,17859,72,1983,15,9
4,114867,43380,59175,234,2985,12,28
5,88005,32550,45171,195,2052,19,5
6,284229,105270,141459,573,3240,29,161
7,1657899,540933,772959,3519,4533,152,102
8,5579718,1791939,2585022,7947,4758,348,106
9,16161141,4461090,6973008,18912,4821,907,-18
10,31842981,8841330,13685325,37530,6666,1766,238
11,348221628,92012715,146572488,322932,8241,17338,422
12,178196115,44591394,73310601,181557,8397,8908,410
