NSubjects,Resumptions,Entailments,Prunings,Backtracks,Constraints,TotalRuntime,Value
1,349248,111024,158553,588,2937,40,120
2,3588729,1110558,1629675,3888,4356,218,279
3,9528336,2591559,4110630,13704,5325,546,222
4,348786,118152,176589,381,5844,74,319
5,13954557,4525782,6585279,17718,9018,808,223
6,30798720,7681734,12691050,40269,10545,1693,185
7,20836797,5899206,9261081,33267,8865,1195,136
8,37562079,11148927,17130084,43689,11580,2156,266
9,6377667,1827135,2870439,8610,10485,418,144
10,347342580,94055199,154171512,195693,15633,17640,264
11,249967326,58886076,103328796,206754,14517,12368,110
12,7023810,2586909,3636603,10188,12504,437,282
