NStudents      ,Resumptions             ,Entailments   ,Prunings      ,Backtracks    ,Constraints   ,Total_runtime (ms)      ,Value    
 1             ,5679                    ,3084          ,3915          ,24            ,879           ,48                      ,5        
 2             ,16506                   ,7011          ,9723          ,27            ,1476          ,11                      ,10       
 3             ,29304                   ,11928         ,16512         ,63            ,1974          ,16                      ,12       
 4             ,112575                  ,44454         ,59124         ,261           ,2973          ,64                      ,26       
 5             ,83517                   ,30879         ,42936         ,183           ,2040          ,55                      ,26       
 6             ,259131                  ,93519         ,127551        ,546           ,3225          ,81                      ,88       
 7             ,1436106                 ,505617        ,684897        ,3348          ,4512          ,386                     ,59       
 8             ,5123046                 ,1683003       ,2366652       ,7725          ,4734          ,912                     ,65       
 9             ,14645655                ,4135029       ,6307500       ,18435         ,4794          ,2215                    ,26       
10             ,28600404                ,8277741       ,12310992      ,36600         ,6636          ,4326                    ,130      
11             ,330917622               ,90522126      ,140429457     ,327267        ,8208          ,46150                   ,195      
12             ,169680606               ,44117190      ,70227783      ,184737        ,8361          ,24222                   ,194      
